text,label
i am not aware of any ipr applicable to this draft that should be disclosed in accordance with ietf rules.,0
"this draft is a good starting point for multipath work, and it seems to be the right time to take on this work. i support adoption.",1
"we have received a request from the authors of draft-ietf-pce-segment-routing-policy-cp for an early code point allocation. rfc 7120 requires to meet the following criteria to proceed: b. the format, semantics, processing, and other rules related to handling the protocol entities defined by the code points (henceforth called ""specifications"") must be adequately described in an internet-draft. c. the specifications of these code points must be stable; [link], if there is a change, implementations based on the earlier and later specifications must be seamlessly interoperable. if anyone believes that the draft does not meet these criteria, or believes that early allocation is not appropriate for any other reason, please send an email to the pce mailing list explaining why. if the chairs hear no objections by monday, february 15th, we will kick off the early allocation request.",0
"an industry standard, and maawg recommendation, the domain portion in the ptr and in the email mail from should not only be resolvable,so far so good. but should have an accompanying url publicly accessible, so inquiries related to those domains can find a contact for the operators. nope. agreed. smtp should not depend on http nor any of the lines of development starting there, including urls. you know i struggle with oauth authentification that not only uses json for key/value pairs etcbut may also upgrade to http/2 or even quic, and not even the curl library (just let me say: !, please) implements these themselve but uses external libraries which themselve (!) use external libraries for the quic case. all that nothing but a pity. that is to say, how adorable this protocol was designed to still scale after decades, the ugliness produced by other participants of ietf soils it whatever you do. (i have my spoiler week.)",-1
"okay. i didn't mention the fence as an endorsement of his personality or politics. not sure why that's relevant. generally, i think arguing that something is wrong and should be changed without understanding why it's the way it is isn't a great way to go.",-1
"this version of the draft contains following updates: 1. security section: address comment: ""man-in-the-middle"" (mim) might break the assumption ""normally"" and must be considered. 2. iana section: add stamp tlv flag error flag d (wrong destination) 3. minor editorial changes welcome your review comments and suggestions.",0
"oh geez, yesterday was my day off but ended up down a deep rabbit hole after reading this draft and the ones that came before it. i do not support adoption and was going to list my reasons but warren parad beat me to it. in addition to the list he has provided, i'd also like to see the draft make a mention of public clients; obviously we can't use any sensitive keys with these.",-1
"this version is fine. just the term ""eap servers for the network"" still looks confusing to me. maybe we can use instead the more detailed explanation that you provided above.",1
"sure, this is a reasonable comment.",1
"trying for some examples. they are written in json without the jwt wrapper so they are easy to read. first attestation evidence with a coswid measurement. the coswid is b64 wrapped cbor. whats important here is that there are measurements in the evidence, not the format or type of the measurements. { ""oemid"" : ""iuwt"", ""ueid"" : ""azj1ck/2wfhhyiyne6y4"", ""swevidence"": 8sf7xls8kd99s8lc87sd."" } next, heres attestation results. the representation of the result is in the eat swresults claim, but they could be ar4si too. whats important is that there are claims describing results of verification. { ""oemid"" : ""iuwt"", ""ueid"" : ""azj1ck/2wfhhyiyne6y4"", ""swresults"" : [ [ ""trustus verifications"", ""all"", ""fully-verified"" ] ] } the rp knows that they are getting attestation results because they accessed the verifier api that only provides attestation results. they know that its not attestation evidence because that api doesnt provide attestation evidence. if we wanted to be doubly sure theres no mix up with conceptual messages, then we could invent a messagetype claim. { ""oemid"" : ""iuwt"", ""ueid"" : ""azj1ck/2wfhhyiyne6y4"", ""swevidence"": 8sf7xls8kd99s8lc87sd. messagetype : attestation evidence"" } and { ""oemid"" : ""iuwt"", ""ueid"" : ""azj1ck/2wfhhyiyne6y4"", ""swresults"" : [ [ ""trustus verifications"", ""all"", ""fully-verified"" ] ] messagetype : attestation results"" } eat doesnt have an a messagetype claim now. it can still be the format for attestation results even if it doesnt have an explicit indicator of conceptual message. i hope that shows why there is no contradiction. to go further, if a verifier received an evidence eat with the swresults or ar4si claims, it should kick it out in error. similarly, if the rp received an eat with the swevidence claim, it should kick it out in error, or ignore the claim, or error out because there was no swresults or ar4si claims. maybe there are some use cases where it is easy to mix up eats that are attestation results with ones that are attestation evidence. if so, then we probably would want to define a messagetype claim.",0
