108 babel ['congratulations']
124 babel ['yay']
224 babel ['cool']
259 cbor ['thankyou']
94 cellar ['perfect']
148 detnet ['congratulations']
93 emailcore ['sorry']
420 gendispatch ['apologies']
556 gendispatch ['thanks']
614 gendispatch ['agreed']
137 idr ['great']
6 jose ['enjoy']
62 lisp ['agreed']
120 mpls ['thanx']
261 roll ['excellent']
2 sidrops ['perfect']
160 spring ['congratulations']
351 teas ['excellent']
16 6lo ['no', 'worries']
42 ace ['great', 'thanks']
99 babel ['perfect', 'thanks']
225 babel ['yeah', 'congrats']
282 babel ['right', 'thanks']
90 bess ['i', 'support']
260 bess ['appreciate', 'it']
759 bess ['ok', 'thanks']
1049 bess ['i', 'support']
1053 bess ['i', 'support']
34 cdni ['looks', 'good']
10 dance ['excellent', 'news']
623 dmarc ['i', 'agree']
25 ecrit ['great', 'thanks']
251 emailcore ['good', 'disambiguation']
299 gendispatch ['well', 'said']
441 idr ['no', 'objection']
77 lsr ['support', 'adoption']
329 lsr ['sounds', 'good']
78 masque ['i', 'support']
335 mpls ['i', 'agree']
627 netmod ['yes', 'fixed']
634 netmod ['thanks', 'accepted']
9 ntp ['i', 'agree']
376 ntp ['well', 'said']
517 ntp ['i', 'agree']
519 ntp ['i', 'agree']
16 nvo3 ['understood', 'agreed']
70 oauth ['totally', 'agree']
298 pce ['makes', 'sense']
24 radext ['i', 'agree']
49 regext ['i', 'support']
336 regext ['i', 'support']
45 rift ['support', 'adoption']
46 rift ['support', 'adoption']
49 rift ['support', 'too']
237 sidrops ['nice', 'agreed']
1005 spring ['i', 'support']
337 stir ['good', 'point']
341 teas ['excellent', 'summarization']
75 add ['ah', 'thank', 'you']
329 alto ['no', 'worries', 'thanks']
683 add ['cannot', 'verify', 'site']
25 babel ['that', 'wfm', 'thanks']
92 bess ['why', 'preclude', 'rfc']
219 bess ['makes', 'sense', 'support']
267 bess ['support', 'the', 'adoption']
364 bess ['i', 'support', 'publication']
379 bess ['i', 'support', 'publication']
519 bess ['i', 'support', 'publication']
1100 bess ['support', 'the', 'adoption']
1132 bess ['support', 'the', 'adoption']
1142 bess ['i', 'support', 'adoption']
1186 bess ['support', 'the', 'adoption']
1201 bess ['support', 'for', 'adoption']
1203 bess ['support', 'the', 'adoption']
49 bier ['support', 'the', 'adoption']
65 bier ['well', 'said', 'thanks']
91 bier ['i', 'support', 'publication']
95 bier ['i', 'posted', 'revision']
118 bier ['support', 'its', 'adoption']
119 bier ['support', 'its', 'adoption']
127 bier ['support', 'wg', 'adoption']
237 bier ['support', 'the', 'adoption']
381 bier ['support', 'as', 'coauthor']
393 bier ['support', 'its', 'adoption']
397 cbor ['opened', 'as', 'issue']
322 core ['got', 'it', 'thanks']
314 cose ['support', 'inline', 'definitely']
544 detnet ['very', 'interesting', 'approach']
597 detnet ['great', 'thank', 'you']
1315 dmarc ['intend', 'to', 'participate']
1420 dmarc ['works', 'for', 'me']
18 dnssd ['sounds', 'good', 'thanks']
62 dnssd ['makes', 'sense', 'thanks']
80 dmm ['support', 'wg', 'adoption']
143 ecrit ['yes', 'i', 'agree']
126 emailcore ['works', 'for', 'me']
445 emu ['corrected', 'urls', 'below']
219 gendispatch ['same', 'for', 'me']
435 gendispatch ['very', 'clear', 'statement']
104 grow ['perfect', 'will', 'do']
